Transect	Quadrant	soil.type	X	Y	NO3f	NH4f	NO3i	NH4i	NMIN	NETN	PO4	Al	Ca	K	Mg	P	SBC	SN	TotalN	TotalC			
T1	34	V	827247.855	1152925.521	130.5481114	125.0727728	181.4236431	92.49771481	-0.653588	-1.816983	1.535785673	1200.164209	109.2335752	70.86074348	41.86444911	1.300548723	221.9587678	273.9213579	0.371926897	4.184177592			
T1	35	V	827248.4201	1152924.696	127.5762223	423.8223485	182.9867799	378.3532206	-0.355051	-1.978948	3.509909097	1216.190098	122.4009609	78.53554545	60.64362734	9.87508521	261.5801337	561.3400005	0.386106866	4.440228955			
T1	36	V	827248.9851	1152923.871	131.8818952	159.3827079	187.8906637	179.7479632	-2.727644	-2.000313	3.241204901	1274.65207	79.48993137	87.3942556	46.28264574	3.875664464	213.1668327	367.6386269	0.362828033	4.081815375			
T1	37	V	827249.5502	1152923.046	301.4287378	499.4899088	353.117078	543.7227881	-3.425758	-1.846012	7.621482143	1540.106068	220.2810086	140.1022198	88.24311169	13.88964053	448.6263401	896.8398661	0.658349637	8.182345484			
T1	38	V	827250.1152	1152922.221	281.2883234	596.4288714	246.2140542	539.3441843	3.291391	1.252652	1.790979945	1258.813947	121.6226199	88.60333142	59.10894383	2.199892445	269.3348952	785.5582385	0.445566128	5.257680313			
T1	39	V	827250.6803	1152921.396	326.9547167	744.9153703	339.795356	636.1613022	3.42548	-0.458594	4.723552496	1256.649282	206.3861207	100.2983706	86.92572417	4.977986524	393.6102155	975.9566582	0.477183222	5.726198666			
T1	40	V	827251.2453	1152920.571	137.7253906	142.5423726	195.3176443	54.82584162	1.075867	-2.056866	1.349080172	1387.134548	197.8313692	103.177805	74.58420329	4.330763311	375.5933775	250.1434859	0.442542115	4.86796327			
T1	41	V	827251.8103	1152919.746	87.19051878	86.22034166	115.2281894	288.8713766	-8.238882	-1.001345	2.229133845	1230.923154	138.3342868	91.60574532	60.05326293	10.74001216	289.9932951	404.099566	0.290157543	3.095013795			
T1	42	V	827252.3754	1152918.921	130.8216314	143.81299	150.9689777	208.0269722	-3.012905	-0.719548	0.40358947	1500.89362	104.6470302	65.78665364	49.51160327	0.517226814	219.9452871	358.9959499	0.270571975	3.337054355			
T1	43	V	827252.9404	1152918.096	144.1919279	383.1953248	203.5203544	127.4163003	7.016093	-2.118872	2.565557361	1193.392671	144.9001462	100.7008915	59.56827811	10.27486543	305.1693158	330.9366547	0.476238887	5.905362198			
T1	44	V	827253.5055	1152917.271	124.5914256	384.1970413	153.65225	456.6267352	-3.624661	-1.037887	0	938.8864282	69.6434417	69.83673604	39.30457456	0	178.7847523	610.2789852	0.351825949	3.782128949			
T1	45	V	827254.0705	1152916.446	114.5245457	130.2042576	134.7429493	107.6595524	0.083082	-0.722086	1.183944652	1090.028719	73.62895378	70.31947031	39.1457262	3.417764138	183.0941503	242.4025017	0.387855969	3.975523681			
T1	46	V	827254.6355	1152915.621	151.2020459	141.4201243	215.5900818	188.9654839	-3.997621	-2.299573	0	1410.379389	118.3118347	103.5812456	55.0589476	4.599816461	276.9520279	404.5555657	0.366501426	4.489642474			
T1	47	V	827255.2006	1152914.796	290.1390522	525.646888	297.5185476	345.8825653	6.156601	-0.263553	0	1235.79661	87.46950968	72.37036767	44.6973013	1.480128194	204.5371787	643.4011129	0.38563262	4.7239996			
T1	48	V	827255.7656	1152913.971	139.0489891	207.0827346	152.9110991	169.750997	0.838201	-0.495075	1.876738497	1237.33517	189.8489588	74.61049004	57.95297304	0.5966937	322.4124219	322.6620961	0.268551	2.775027			
T1	49	V	827256.3307	1152913.145	74.91856379	26.61692788	69.72228061	66.38636754	-1.234756	0.185582	0	1220.082217	185.5876575	89.42405514	39.38192363	5.674247711	314.3936363	136.1086482	0.190931126	1.909311256			
T1	50	V	827256.8957	1152912.32	34.10561489	180.9469476	14.89156992	76.92954061	4.401123	0.686216	1.011276461	915.4459715	298.1575004	109.7126626	106.0216685	0.339098969	513.8918315	91.82111053	0.171664235	2.231635053			
