tree_number,diameter,height
478,57.97,27.43
479,61.13,27.98
480,53.05,26.43
481,82.61,33.73
482,73.38,33.09
483,56.2,27.84
484,56.18,26.83
485,63.59,28.23
486,60.75,28.5
487,56.63,27.23
488,62.23,31.78
489,51.02,26.09
490,73.31,36.05
491,54.82,24.9
492,71.68,30.91
493,51.03,25.6
494,61.44,27.73
495,68.46,31.51
496,73.18,32.86
497,54.81,29.35
498,63.89,30.98
499,64.63,30.15
500,75.6,33.69
